k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
8,15,0,5,0,15,1.0,10,5,67.30072463768117,0.6136098373052213,0.21243830071291558,-6.676338263190278
8,15,0,5,0,15,1.0,25,0,67.02898550724638,0.6142017662747257,0.21274163933268483,-6.72038115278056
8,15,0,5,0,15,1.0,25,5,66.93840579710145,0.6139244188622922,0.21262771414021558,-6.722663336796816
8,15,0,5,0,35,0.4,0,0,67.57246376811594,0.6123813918062901,0.21196534844113105,-6.62041869528397
8,15,0,5,0,35,0.4,0,5,67.48188405797102,0.6121523079144091,0.21186908459531703,-6.623793441330852
8,15,0,5,0,35,0.4,10,0,67.3913043478261,0.6124957962605045,0.212046657168285,-6.642702222032828
8,15,0,5,0,35,0.4,10,5,67.30072463768117,0.6122605557666486,0.2119475531671138,-6.645914109049624
8,15,0,5,0,35,0.4,25,0,67.93478260869566,0.6128166902600816,0.21223686108543713,-6.598529704628572
8,15,0,5,0,35,0.4,25,5,67.93478260869566,0.6125719441357342,0.21213321416610306,-6.59242585886043
8,15,0,5,0,35,0.7,0,0,67.57246376811594,0.6123813918062901,0.21196534844113105,-6.62041869528397
8,15,0,5,0,35,0.7,0,5,67.48188405797102,0.6121523079144091,0.21186908459531703,-6.623793441330852
8,15,0,5,0,35,0.7,10,0,67.3913043478261,0.6124957962605045,0.212046657168285,-6.642702222032828
8,15,0,5,0,35,0.7,10,5,67.30072463768117,0.6122605557666486,0.2119475531671138,-6.645914109049624
8,15,0,5,0,35,0.7,25,0,67.93478260869566,0.6128166902600816,0.21223686108543713,-6.598529704628572
8,15,0,5,0,35,0.7,25,5,67.93478260869566,0.6125719441357342,0.21213321416610306,-6.59242585886043
8,15,0,5,0,35,1.0,0,0,67.57246376811594,0.6123813918062901,0.21196534844113105,-6.62041869528397
8,15,0,5,0,35,1.0,0,5,67.48188405797102,0.6121523079144091,0.21186908459531703,-6.623793441330852
8,15,0,5,0,35,1.0,10,0,67.3913043478261,0.6124957962605045,0.212046657168285,-6.642702222032828
8,15,0,5,0,35,1.0,10,5,67.30072463768117,0.6122605557666486,0.2119475531671138,-6.645914109049624
