k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,15.0863,5.923,56.6832504145937,0.6809492390984457,0.24395743625419264,-9.537566321495902
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,15.0863,6.923,56.6832504145937,0.6809493799745064,0.2439577258934173,-9.537579034073373
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,15.0863,7.923,56.749585406301826,0.6809499548524831,0.2439582296854424,-9.530970285607378
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,16.5863,5.923,56.71641791044776,0.6809516264226678,0.24395847864378825,-9.534310366088096
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,16.5863,6.923,56.71641791044776,0.6809517414632067,0.24395875579513657,-9.534322372466338
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,16.5863,7.923,56.782752902155885,0.6809522905105294,0.2439592471009078,-9.52771291790496
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,18.0863,5.923,56.749585406301826,0.680954199791732,0.24395961147674666,-9.531059516773539
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,18.0863,6.923,56.749585406301826,0.6809542889834282,0.24395987612167463,-9.53107081610423
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7391,18.0863,7.923,56.6832504145937,0.680954812186615,0.24396035492233795,-9.53772765292707
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,15.0863,5.923,56.71641791044776,0.680939735311006,0.24395279886970092,-9.533988046231308
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,15.0863,6.923,56.71641791044776,0.6809398767433051,0.24395308897742135,-9.534000781998518
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,15.0863,7.923,56.782752902155885,0.6809404521711173,0.24395359323491186,-9.527392056549825
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,16.5863,5.923,56.749585406301826,0.6809421230075665,0.2439538413440314,-9.530732097191605
3.0,25.3165,14.856,12.6871,0.0,25.9938,0.7691,16.5863,6.923,56.749585406301826,0.6809422386042504,0.2439541189625868,-9.530744126707294
