k,home_adv,player_boost,starter_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,overtime_factor,accuracy,log_loss,brier,score
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.34945346141106,0.6841004996332904,0.2454932746021112,-45.8780129115995
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.25008280887711,0.6841140699857963,0.24549990827110216,-45.9774167324784
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.28320635972176,0.6840145793079045,0.24545069461964591,-45.94404711337647
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.6840281862510055,0.24545734145705309,-46.010327449252806
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.6839412077645196,0.24541442526405668,-46.01011286828782
4.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.21695925803246,0.6839548500328367,0.24542108351486353,-46.010146159541854
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.548194766478964,0.6840936913727175,0.24548957036929567,-45.67925308536751
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.515071215634315,0.6841062944817232,0.24549575396126525,-45.71240755417201
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.481947664789665,0.6840077000868757,0.2454469505949248,-45.74528708818496
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.481947664789665,0.6840203399062358,0.24545314773287652,-45.74531807387472
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.415700563100366,0.6839342577870707,0.2454106450058094,-45.81135266192868
4.0,15.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.28320635972176,0.6839469331432513,0.2454168541077326,-45.9438779108169
4.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.018217952964555,0.6851693472283567,0.2460125582282674,-46.21184483817678
4.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.951970851275256,0.6851852530568711,0.24601961128109892,-46.27812720513024
4.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.018217952964555,0.6850865214942985,0.24597159555469736,-46.21164002480893
4.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.985094402119906,0.6851024626796244,0.24597865078097836,-46.244798851784985
4.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,54.951970851275256,0.6850162356602412,0.24593694667888155,-46.27771388211915
