k,home_adv,player_boost,starter_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,overtime_factor,score
2.508604997159996,30.61462994487742,15.261030418168403,42.92911093023236,20.87144713253284,6.024015630753889,0.5658464739903357,5.377744359722629,0.7856008470129197,2.1277056254982707,30.14041390471012,6.93085674040854,13.431087572808387,2.9111168338150417,7.770783717938386,1.0147894930494294,0.3077864613091137,6.095852649904806,4.996987538993283,1.2805669141325788,12.496536047203943,-44.91004426723045
8.118613798039608,36.97841459380403,34.509825249543766,29.895981591991543,17.290919372241834,7.2175535736224,12.410478797709102,9.204601289793057,1.2950808618795957,4.962452082085893,34.669786740130505,18.904542864646924,18.65651533814256,2.8852442177998867,5.650135998305812,3.639597464266828,9.881562839788575,6.856554951857215,5.300000337850078,4.059100322614078,9.84562939969356,-44.081129652567334
5.853259495271449,35.75793287589673,34.462497296691794,30.64475735985555,34.24714239703971,4.4456415197399135,6.533810820398937,7.8308831927788916,0.9177502910724439,2.397216244667235,37.06643632838275,10.57822709532454,43.00529065949787,4.359223540372396,7.8514119579959125,0.3225029098505251,8.263217145433464,5.379712085816328,2.9750660794277146,0.41856602003538945,6.316611144893726,-44.4409552450591
7.183721294868794,29.79666112540455,34.99479832655985,42.692915023411814,30.17252939549616,5.37626633171444,12.605559331707031,9.153251925092949,1.2582249637104117,3.300061248934787,27.125130479082575,10.74436802290386,18.79536764753694,0.5581512318262555,6.861694015345377,6.514153358317448,9.843686698334658,0.4705863507057523,5.012788198177856,2.4788364058751524,9.560043687205615,-44.21549144628676
7.50521143809272,32.3509873844791,32.763827991197246,41.05941877276123,34.426674907039015,2.35348221265082,14.69626900583856,9.996317177390754,0.8677222254560657,27.85106995974968,29.55187277309589,4.324474824526332,40.22187492236041,6.230368643479077,5.697997675150029,1.0487473172267747,2.0443025768112477,5.467344422757962,5.277310664543127,4.1715549037709865,8.202110480584055,-44.86825806814497
8.122218986113872,29.14348443157887,33.53273424915123,46.51425509508717,30.37375234232138,9.771497834188088,4.809580100352559,7.365711864260832,1.2750767770437519,8.312221770765674,32.99205602795943,19.884235347578215,37.78305394683363,6.275376659342657,2.7668037349261816,1.5749298596695154,10.540787866244486,4.762005405145031,2.6132314806781296,0.33709468238451623,4.114084407431142,-44.31386291145211
5.197611644675535,34.91908124754082,34.770569748707956,45.649116974732806,22.179475562419743,4.008178615655097,0.020269041233462737,7.000111148575216,0.9663544472783279,17.187891986289273,29.229591728117835,7.083228945724969,21.365878646443836,5.008718161862484,5.8992935830686575,1.9709161299257718,10.363307806512479,1.4920958482589937,1.3387372278560055,1.797581695575854,12.634403016425866,-44.044117767364696
4.448359013310575,27.357979304881205,33.81123283748708,40.99814426716556,34.4116612641472,0.9837472855622797,11.971098496566052,9.543889195121837,1.2909977232237577,0.28461966171126174,24.753448763585467,16.299446829082186,29.925091694887517,3.91412339192631,7.675881397800754,4.0992996586536385,9.23923161787047,7.070778539298804,4.8255745839020685,1.641392905464567,12.384551470533559,-44.24201451140403
6.553603081762857,33.12731155057665,31.857882204581912,46.5895923901163,23.345634115557843,8.008122125204826,8.68506884499778,8.101524974301105,1.210913999482868,29.893333273260282,30.774810051613624,17.903811413696094,30.715840399222657,7.29027436461801,6.887202253381566,6.571638596151852,6.668739694412672,4.098987057072627,4.3276353400645755,2.0989173273294432,12.95003993858397,-44.11021325604169
2.4577571834450285,31.868159034431926,34.082459016177495,46.590969067657944,33.9482266710457,9.760917170373887,2.2960342893491936,3.4704511182000175,0.7989569199544744,3.8329313028255854,32.325450264076096,4.463085710716566,4.1726777989814625,1.5535903529497184,6.721640440694712,0.5592676697280872,7.028274057261454,4.083595076124701,5.0936722648849075,0.8324131415318433,9.04386218572083,-44.70025128806618
4.7042142074015265,36.7679749328723,28.532760844733964,46.64036605260104,31.992855617743633,8.36975305396418,0.32077549637932246,8.927459580388156,1.2907774741190696,13.211307774343307,30.842390467665915,13.684306290633474,3.3251275130892903,3.912276905885605,6.959153109672572,6.847960587680422,9.37749355202056,1.214582892460367,5.109307656725342,0.3633184121596494,12.414107749890928,-44.339143349279624
4.1583996647845,20.932124201443585,33.199164041999026,45.75885340499964,15.722109869352998,0.7268850185977638,0.699271084666947,7.954345856788332,1.041400244583542,24.330958574232625,31.938848246649858,15.611230530922995,33.540151323503316,7.298798445313663,6.534756834996502,0.5154538106673312,10.886213680727966,0.25835017807091604,4.950861607061919,2.0103036401685084,12.86897572943427,-44.80566115074428
