k,home_adv,player_boost,rest_factor,travel_factor,pace_factor,playoff_hca_factor,sos_factor,form_weight,accuracy,log_loss,brier,score
8,15,0,0,15,35,1.0,25,5,61.40350877192983,0.659045374032613,0.23312923080079315,-8.457181347099647
8,15,0,0,35,0,0.4,0,0,60.35087719298245,0.6639678419969897,0.23541423384446222,-8.69322437045616
8,15,0,0,35,0,0.4,0,5,60.877192982456144,0.6628343415338942,0.2348779922672944,-8.610075124717314
8,15,0,0,35,0,0.4,10,0,60.35087719298245,0.6650670991160431,0.23590212709196567,-8.721534157308724
8,15,0,0,35,0,0.4,10,5,60.877192982456144,0.6639261608229848,0.23536228423647443,-8.638181357797242
8,15,0,0,35,0,0.4,25,0,60.35087719298245,0.6668431068638713,0.2366906582839645,-8.767283466971303
8,15,0,0,35,0,0.4,25,5,60.70175438596491,0.6656908549493253,0.23614542751472237,-8.701168501587007
8,15,0,0,35,0,0.7,0,0,60.526315789473685,0.6637420569991827,0.23530196014875518,-8.6693832829963
8,15,0,0,35,0,0.7,0,5,61.05263157894737,0.6626098869972898,0.2347666235044553,-8.586280878261793
8,15,0,0,35,0,0.7,10,0,60.526315789473685,0.6648401692064552,0.2357887906381997,-8.69764140023226
8,15,0,0,35,0,0.7,10,5,61.05263157894737,0.6637005638218074,0.23524984934465015,-8.614335326465728
8,15,0,0,35,0,0.7,25,0,60.70175438596491,0.666614411615077,0.2365757258282849,-8.72576888745552
8,15,0,0,35,0,0.7,25,5,60.877192982456144,0.6654634961437613,0.2360313911142818,-8.677244315475749
8,15,0,0,35,0,1.0,0,0,60.526315789473685,0.6635310431858268,0.23519633275336957,-8.663470076674027
8,15,0,0,35,0,1.0,0,5,61.05263157894737,0.6624001825398322,0.23466187946389813,-8.580413480979846
8,15,0,0,35,0,1.0,10,0,60.35087719298245,0.6646280105844005,0.23568210047250185,-8.709220384277032
8,15,0,0,35,0,1.0,10,5,61.05263157894737,0.6634897172507435,0.23514403962915975,-8.6084161652776
8,15,0,0,35,0,1.0,25,0,60.526315789473685,0.6664004841273277,0.23646743298826142,-8.737269613601708
8,15,0,0,35,0,1.0,25,5,60.70175438596491,0.6652508846221881,0.23592397392918357,-8.688790595548356
8,15,0,0,35,15,0.4,0,0,61.05263157894737,0.6655396173313601,0.23611485820097694,-8.663648108795222
8,15,0,0,35,15,0.4,0,5,61.40350877192983,0.6643891886671781,0.23556852303428485,-8.597503553515836
8,15,0,0,35,15,0.4,10,0,61.228070175438596,0.6666056977540983,0.2365919730139237,-8.673717485045874
8,15,0,0,35,15,0.4,10,5,61.05263157894737,0.6654479193247218,0.2360421541992109,-8.660006364671474
8,15,0,0,35,15,0.4,25,0,60.70175438596491,0.6683322775135419,0.23736477871632444,-8.771073930164821
8,15,0,0,35,15,0.4,25,5,60.70175438596491,0.6671633214052006,0.23680975536325077,-8.739521347175144
